"['Comedy', 'Crime', 'Thriller']",3392,7.3,"['JackHawkins', 'NigelPatrick', 'RogerLivesey', 'RichardAttenborough']",['BasilDearden'],"['JohnBoland', 'BryanForbes']",['MichaelRelph'],['PhilipGreen']
"['Drama', 'Romance']",2701,7.9,"['InnokentiySmoktunovskiy', 'TatyanaSamoylova', 'VasiliyLivanov', 'EvgeniyUrbanskiy']",['MikhailKalatozov'],"['GrigoriyKoltunov', 'ValeriOsipov', 'ViktorRozov']",[],['NikolaiKryukov']
['Drama'],1572,6.9,"['AnthonyQuinn', 'YôkoTani', '""PeterOToole""', 'CarloGiustini']",['NicholasRay'],"['HansRuesch', 'FrancoSolinas', 'BaccioBandini']",['MalenoMalenotti'],['AngeloFrancescoLavagnino']
['Drama'],1512,7.3,"['JessHahn', 'MichèleGirardon', 'VanDoude', 'PaulBisciglia']",['ÉricRohmer'],['PaulGégauff'],['ClaudeChabrol'],['LouisSaguer']
"['Drama', 'Horror', 'Thriller']",23803,7.7,"['PierreBrasseur', 'AlidaValli', 'JulietteMayniel', 'AlexandreRignault']",['GeorgesFranju'],"['PierreGascar', 'JeanRedon', 'PierreBoileau', 'ThomasNarcejac', 'ClaudeSautet']",[],[]
"['Drama', 'Crime']",66360,7.9,"['Jean-PaulBelmondo', 'JeanSeberg', 'DanielBoulanger', 'Henri-JacquesHuet']",['Jean-LucGodard'],"['FrançoisTruffaut', 'ClaudeChabrol']",['GeorgesdeBeauregard'],['MartialSolal']
['Drama'],3928,8.1,"['SetsukoHara', 'YôkoTsukasa', 'MarikoOkada', 'KeijiSada']",['YasujirôOzu'],"['TonSatomi', 'KôgoNoda']",['ShizuoYamanouchi'],['TakanobuSaitô']
['Drama'],1074,7.2,"['RichardAttenborough', 'PierAngeli', 'MichaelCraig', 'BernardLee']",['GuyGreen'],"['RichardGregson', 'BryanForbes']",[],['MalcolmArnold']
"['Comedy', 'Drama', 'Romance']",148822,8.3,"['JackLemmon', 'ShirleyMacLaine', 'FredMacMurray', 'RayWalston']",['BillyWilder'],['I.A.L.Diamond'],[],['AdolphDeutsch']
"['Drama', 'Mystery']",23649,7.9,"['GabrieleFerzetti', 'MonicaVitti', 'LeaMassari', 'DominiqueBlanchar']",['MichelangeloAntonioni'],"['ElioBartolini', 'ToninoGuerra']",['AmatoPennasilico'],['GiovanniFusco']
"['Drama', 'Music', 'Romance']",1865,6.3,"['FrankSinatra', 'ShirleyMacLaine', 'MauriceChevalier', 'LouisJourdan']",['WalterLang'],"['DorothyKingsley', 'CharlesLederer', 'AbeBurrows']",[],[]
"['Comedy', 'Drama']",809,7.4,"['JoséIsbert', 'PedroPorcel', 'JoséLuisLópezVázquez', 'MaríaLuisaPonte']",['MarcoFerreri'],['RafaelAzcona'],['PerePortabella'],['MiguelAsinsArbó']
"['Crime', 'Drama']",1104,6.9,"['StanleyBaker', 'SamWanamaker', 'GrégoireAslan', 'MargitSaad']",['JosephLosey'],"['AlunOwen', 'JimmySangster']",['JackGreenwood'],['JohnDankworth']
['Drama'],640,7.1,"['RobertPreston', 'DorothyMcGuire', 'EveArden', 'AngelaLansbury']",['DelbertMann'],"['HarrietFrankJr.', 'IrvingRavetch', 'WilliamInge']",['MichaelGarrison'],['MaxSteiner']
"['Comedy', 'Drama']",60291,8.0,"['MarcelloMastroianni', 'AnitaEkberg', 'AnoukAimée', 'YvonneFurneaux']",['FedericoFellini'],"['EnnioFlaiano', 'TullioPinelli', 'BrunelloRondi', 'PierPaoloPasolini']",['GiuseppeAmato'],[]
['Drama'],9462,7.8,"['BurtLancaster', 'JeanSimmons', 'ArthurKennedy', 'DeanJagger']",['RichardBrooks'],['SinclairLewis'],['BernardSmith'],['AndréPrevin']
['Comedy'],1048,7.0,"['TonyCurtis', 'KarlMalden', '""EdmondOBrien""', '""ArthurOConnell""']",['RobertMulligan'],"['RobertCrichton', '""LiamOBrien""']",['RobertArthur'],['HenryMancini']
"['Drama', 'War']",946,7.0,"['JeffreyHunter', 'DavidJanssen', 'VicDamone', 'PatriciaOwens']",['PhilKarlson'],"['TedSherdeman', 'WalterRoeberSchmidt', 'GilDoud']",['IrvingH.Levin'],['LeithStevens']
"['Drama', 'History']",25243,8.1,"['SpencerTracy', 'FredricMarch', 'GeneKelly', 'DickYork']",['StanleyKramer'],"['NedrickYoung', 'HaroldJacobSmith', 'JeromeLawrence', 'RobertE.Lee']",[],['ErnestGold']
